Record Verification Trace
========================
Starting number: 1000206827388999999095750
Starting digits: 25

Method 1: Baseline Python (str-based)
Iterations: 293
Final digit count: 132

Iteration | Digit Count
-------------------------
        1 | 25
        2 | 25
        3 | 25
        4 | 26
        5 | 26
        6 | 26
        7 | 26
        8 | 27
        9 | 28
       10 | 28
       11 | 28
       12 | 28
       13 | 29
       14 | 30
       15 | 30
       16 | 30
       17 | 30
       18 | 31
       19 | 31
       20 | 31
       21 | 31
       22 | 32
       23 | 32
       24 | 32
       25 | 32
       26 | 33
       27 | 33
       28 | 33
       29 | 33
       30 | 34
       31 | 34
       32 | 34
       33 | 35
       34 | 35
       35 | 36
       36 | 36
       37 | 36
       38 | 36
       39 | 37
       40 | 37
       41 | 37
       42 | 37
       43 | 38
       44 | 38
       45 | 38
       46 | 38
       47 | 38
       48 | 39
       49 | 39
       50 | 40
       51 | 40
       52 | 41
       53 | 41
       54 | 42
       55 | 42
       56 | 43
       57 | 43
       58 | 44
       59 | 44
       60 | 44
       61 | 45
       62 | 45
       63 | 46
       64 | 46
       65 | 47
       66 | 47
       67 | 47
       68 | 48
       69 | 49
       70 | 50
       71 | 50
       72 | 50
       73 | 50
       74 | 51
       75 | 51
       76 | 51
       77 | 52
       78 | 53
       79 | 54
       80 | 54
       81 | 54
       82 | 54
       83 | 55
       84 | 55
       85 | 55
       86 | 55
       87 | 56
       88 | 57
       89 | 57
       90 | 57
       91 | 57
       92 | 58
       93 | 58
       94 | 58
       95 | 58
       96 | 59
       97 | 59
       98 | 59
       99 | 59
      100 | 60
      101 | 60
      102 | 60
      103 | 60
      104 | 60
      105 | 61
      106 | 62
      107 | 63
      108 | 63
      109 | 63
      110 | 63
      111 | 64
      112 | 64
      113 | 64
      114 | 64
      115 | 65
      116 | 65
      117 | 66
      118 | 66
      119 | 67
      120 | 67
      121 | 67
      122 | 68
      123 | 68
      124 | 69
      125 | 69
      126 | 70
      127 | 70
      128 | 71
      129 | 71
      130 | 72
      131 | 72
      132 | 73
      133 | 73
      134 | 74
      135 | 74
      136 | 75
      137 | 75
      138 | 76
      139 | 76
      140 | 77
      141 | 77
      142 | 77
      143 | 78
      144 | 78
      145 | 79
      146 | 79
      147 | 80
      148 | 80
      149 | 81
      150 | 81
      151 | 81
      152 | 82
      153 | 82
      154 | 83
      155 | 83
      156 | 84
      157 | 84
      158 | 84
      159 | 85
      160 | 85
      161 | 86
      162 | 86
      163 | 86
      164 | 86
      165 | 87
      166 | 87
      167 | 87
      168 | 87
      169 | 88
      170 | 88
      171 | 88
      172 | 88
      173 | 88
      174 | 89
      175 | 89
      176 | 90
      177 | 90
      178 | 91
      179 | 91
      180 | 92
      181 | 92
      182 | 93
      183 | 93
      184 | 94
      185 | 94
      186 | 94
      187 | 95
      188 | 95
      189 | 96
      190 | 96
      191 | 97
      192 | 97
      193 | 97
      194 | 98
      195 | 99
      196 | 100
      197 | 100
      198 | 100
      199 | 100
      200 | 101
      201 | 101
      202 | 101
      203 | 102
      204 | 103
      205 | 103
      206 | 103
      207 | 103
      208 | 104
      209 | 104
      210 | 104
      211 | 104
      212 | 105
      213 | 106
      214 | 106
      215 | 106
      216 | 106
      217 | 107
      218 | 107
      219 | 107
      220 | 108
      221 | 108
      222 | 108
      223 | 108
      224 | 109
      225 | 110
      226 | 110
      227 | 110
      228 | 110
      229 | 111
      230 | 111
      231 | 111
      232 | 111
      233 | 112
      234 | 112
      235 | 112
      236 | 112
      237 | 113
      238 | 114
      239 | 114
      240 | 114
      241 | 114
      242 | 115
      243 | 116
      244 | 116
      245 | 116
      246 | 116
      247 | 117
      248 | 118
      249 | 118
      250 | 118
      251 | 118
      252 | 119
      253 | 120
      254 | 120
      255 | 120
      256 | 120
      257 | 121
      258 | 121
      259 | 121
      260 | 121
      261 | 122
      262 | 122
      263 | 122
      264 | 122
      265 | 123
      266 | 124
      267 | 124
      268 | 124
      269 | 124
      270 | 125
      271 | 126
      272 | 126
      273 | 126
      274 | 126
      275 | 127
      276 | 127
      277 | 127
      278 | 127
      279 | 128
      280 | 128
      281 | 128
      282 | 128
      283 | 129
      284 | 130
      285 | 130
      286 | 130
      287 | 130
      288 | 131
      289 | 131
      290 | 131
      291 | 131
      292 | 132
      293 | 132

Final palindrome: 880226615529888473330265269768646444333433887733883465996765424854458424567699564388337788334333444646867962562033374888925516622088
Is palindrome: True

Method 2: C digit-array extension
Iterations: 293
Palindrome digits: 132
Palindromes match: True
